project,genome,file_accession,type,output_type,replicates,pipe
ENCSR185QFX,GRCh38,ENCFF189PCC,bed narrowPeak,IDR thresholded peaks,3,ENCODE4
ENCSR235PYI,GRCh38,ENCFF798NQN,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR235PYI,GRCh38,ENCFF227CVS,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR235PYI,GRCh38,ENCFF566BPY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR365YCX,GRCh38,ENCFF926UHP,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR365YCX,GRCh38,ENCFF968JOI,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR365YCX,GRCh38,ENCFF837TYM,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR620DUQ,GRCh38,ENCFF599FYT,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR620DUQ,GRCh38,ENCFF167JLX,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR620DUQ,GRCh38,ENCFF142BHB,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR620DUQ,GRCh38,ENCFF883LRJ,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
ENCSR938VRO,GRCh38,ENCFF415YWK,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR938VRO,GRCh38,ENCFF812VRZ,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR938VRO,GRCh38,ENCFF424CZQ,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR169JRW,GRCh38,ENCFF505AEY,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR169JRW,GRCh38,ENCFF233WSF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR169JRW,GRCh38,ENCFF026ZUK,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR735VJE,GRCh38,ENCFF918TGZ,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR735VJE,GRCh38,ENCFF284RWC,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR735VJE,GRCh38,ENCFF129EUF,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR502YME,GRCh38,ENCFF802VTG,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR502YME,GRCh38,ENCFF240PTG,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR502YME,GRCh38,ENCFF187KKG,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR822CCM,GRCh38,ENCFF879NTL,bed narrowPeak,IDR thresholded peaks,"1, 2",ENCODE4
ENCSR822CCM,GRCh38,ENCFF894BYL,bed narrowPeak,IDR thresholded peaks,2,ENCODE4
ENCSR822CCM,GRCh38,ENCFF720DPW,bed narrowPeak,IDR thresholded peaks,1,ENCODE4
ENCSR822CCM,GRCh38,ENCFF249TYS,bed narrowPeak,optimal IDR thresholded peaks,"1, 2",ENCODE3
